"age","male","race","hrs_per_wk","wkswork","incwage","ed_lt_hs","ed_some_hs","ed_hs_degree","ed_some_col","ed_ba_degree","ed_post_degree"
48,1,"white",NA,49,1200,0,0,0,1,0,0
55,0,"white",40,52,56000,0,0,0,0,0,1
52,1,"white",NA,52,0,1,0,0,0,0,0
55,0,"white",NA,52,0,1,0,0,0,0,0
58,0,"white",20,52,5000,0,0,1,0,0,0
59,1,"white",50,52,50000,0,0,1,0,0,0
29,1,"white",45,52,40000,0,0,1,0,0,0
30,0,"white",40,52,30000,0,0,0,0,1,0
40,1,"white",50,52,0,0,0,0,1,0,0
46,0,"white",40,52,45000,0,0,0,0,1,0
54,1,"white",NA,50,0,0,0,0,0,1,0
54,1,"white",40,52,0,0,0,0,0,0,1
51,1,"white",0,0,0,0,0,0,1,0,0
49,0,"white",16,52,10000,0,0,0,0,1,0
61,0,"white",0,0,0,0,1,0,0,0,0
61,1,"white",40,52,75000,0,0,0,0,1,0
60,0,"white",0,0,0,0,0,1,0,0,0
39,0,"white",NA,52,24000,0,0,0,1,0,0
44,1,"white",NA,52,0,0,0,0,1,0,0
32,1,"white",40,52,25000,0,0,0,1,0,0
27,0,"white",0,0,0,0,0,0,1,0,0
27,0,"white",NA,52,4788,0,0,0,1,0,0
63,1,"white",16,52,40000,0,0,0,1,0,0
53,0,"white",40,52,58000,0,0,0,0,1,0
46,1,"white",50,52,60000,0,0,1,0,0,0
44,0,"white",35,52,50000,0,0,0,1,0,0
59,1,"white",40,52,67000,0,0,0,0,1,0
62,0,"white",40,52,55000,0,0,0,1,0,0
30,0,"white",0,0,0,0,0,0,0,1,0
31,1,"white",50,52,100100,0,0,0,0,1,0
28,0,"white",30,8,450,0,1,0,0,0,0
48,0,"white",40,52,24,0,0,0,1,0,0
55,1,"white",40,52,24000,0,0,0,1,0,0
64,1,"white",40,52,10000,0,0,1,0,0,0
63,0,"white",40,52,28000,0,0,1,0,0,0
38,0,"white",40,52,98000,0,0,0,0,1,0
25,1,"white",60,52,50000,0,0,0,0,1,0
56,1,"white",40,52,50000,0,0,1,0,0,0
43,0,"white",40,52,16820,0,0,0,1,0,0
35,0,"white",40,52,28000,0,0,1,0,0,0
40,0,"white",0,0,0,0,0,0,0,1,0
32,1,"multiple/other",NA,52,45000,0,0,1,0,0,0
33,1,"white",NA,52,28000,0,0,0,1,0,0
36,0,"white",0,0,0,0,0,1,0,0,0
39,1,"white",NA,52,72000,0,0,0,0,1,0
38,0,"white",NA,52,35000,0,0,0,1,0,0
63,0,"native",40,52,74000,0,0,0,1,0,0
31,1,"white",NA,52,36000,0,0,0,1,0,0
27,0,"white",40,52,13200,0,0,1,0,0,0
49,1,"white",NA,52,52000,1,0,0,0,0,0
47,0,"white",40,52,36000,0,0,1,0,0,0
31,0,"white",40,52,30000,0,0,0,0,1,0
57,1,"white",NA,52,70000,0,0,0,0,1,0
51,0,"multiple/other",0,0,0,0,0,1,0,0,0
38,0,"white",0,0,0,0,0,1,0,0,0
26,1,"white",40,42,35700,0,0,1,0,0,0
39,1,"white",60,52,0,0,0,1,0,0,0
36,0,"white",20,52,0,0,0,0,1,0,0
38,1,"white",35,52,53000,0,0,0,0,1,0
28,0,"white",43,52,50000,0,0,1,0,0,0
33,1,"white",40,52,44500,0,0,1,0,0,0
53,1,"white",40,52,60000,0,0,0,1,0,0
44,0,"white",NA,52,24000,0,0,1,0,0,0
55,1,"white",40,52,40000,0,1,0,0,0,0
50,1,"white",40,52,14400,0,0,1,0,0,0
53,0,"white",40,52,21000,0,0,1,0,0,0
31,1,"white",40,52,40000,0,0,0,0,1,0
53,1,"white",61,52,25000,0,0,0,1,0,0
26,1,"white",40,52,50000,0,0,0,1,0,0
58,0,"white",25,52,0,0,0,0,0,0,1
49,0,"white",40,52,20000,0,0,1,0,0,0
58,0,"white",0,0,0,0,0,0,1,0,0
43,0,"white",50,52,70000,0,0,0,0,1,0
49,1,"white",0,0,0,0,0,0,0,1,0
34,1,"white",40,52,43600,0,0,1,0,0,0
36,0,"white",40,34,11300,0,0,0,0,1,0
39,0,"white",0,0,0,0,1,0,0,0,0
47,1,"white",45,52,35000,0,0,0,1,0,0
56,1,"white",40,52,86650,0,0,0,1,0,0
62,1,"white",40,52,25480,0,0,0,0,0,1
25,1,"white",40,52,0,0,0,0,0,1,0
28,0,"white",0,0,0,0,0,1,0,0,0
49,0,"white",40,52,35000,0,0,0,1,0,0
48,1,"white",55,52,0,0,0,1,0,0,0
31,1,"white",40,52,0,0,0,1,0,0,0
57,1,"white",40,52,49500,0,0,0,0,1,0
39,0,"white",40,52,37000,0,0,0,0,1,0
57,0,"white",32,52,36000,0,0,1,0,0,0
56,1,"white",40,52,0,0,0,1,0,0,0
32,0,"white",0,0,0,0,0,1,0,0,0
46,1,"white",60,26,180000,0,0,0,0,1,0
45,0,"white",0,0,0,0,0,1,0,0,0
29,1,"white",45,52,60000,0,0,1,0,0,0
40,0,"white",45,52,30000,0,0,1,0,0,0
56,1,"asian/pacific",40,52,75600,0,0,0,1,0,0
41,0,"white",40,52,55000,0,0,0,0,1,0
54,1,"white",60,52,40000,0,1,0,0,0,0
48,0,"white",40,21,11000,0,0,0,1,0,0
42,0,"white",0,0,0,0,0,0,1,0,0
27,0,"white",36,52,70000,0,0,0,0,1,0
32,1,"white",75,52,53000,0,0,0,0,1,0
45,0,"white",63,52,49000,0,0,0,0,1,0
47,1,"white",40,52,30000,0,0,0,1,0,0
47,0,"white",40,52,40000,0,0,1,0,0,0
59,0,"white",40,52,25000,0,0,0,1,0,0
50,1,"white",20,52,52000,0,0,0,0,0,1
54,1,"white",50,52,90000,0,0,0,0,1,0
55,0,"white",36,52,150000,0,0,0,0,0,1
33,0,"white",40,52,42000,0,0,1,0,0,0
38,1,"white",40,52,70000,0,0,0,0,1,0
36,0,"white",NA,12,1840,0,0,0,1,0,0
39,1,"white",NA,52,85000,0,0,0,1,0,0
53,0,"white",30,52,0,0,0,0,1,0,0
54,1,"white",40,52,35900,0,0,0,1,0,0
54,0,"white",40,52,80000,0,0,0,0,1,0
58,1,"white",15,52,2500,0,0,0,0,0,1
37,0,"white",0,0,0,0,0,1,0,0,0
57,0,"white",37,52,34804,0,0,0,1,0,0
35,1,"white",NA,52,43000,0,0,1,0,0,0
35,0,"white",37,51,50000,0,0,0,1,0,0
58,0,"white",32,52,12000,0,0,1,0,0,0
43,0,"white",0,0,0,0,0,0,1,0,0
39,1,"white",40,25,9000,0,0,1,0,0,0
27,0,"white",0,0,0,0,0,1,0,0,0
59,1,"white",0,0,0,0,0,1,0,0,0
54,0,"white",0,0,0,0,0,1,0,0,0
29,1,"white",55,52,25000,0,0,0,1,0,0
46,0,"white",0,0,0,0,0,0,0,1,0
54,1,"white",80,52,82000,0,0,0,1,0,0
49,0,"white",40,52,60000,0,0,0,1,0,0
33,1,"white",40,52,23000,0,0,1,0,0,0
53,0,"white",0,0,0,0,0,0,1,0,0
46,1,"white",40,52,40000,0,0,0,1,0,0
27,0,"white",40,52,25000,0,0,1,0,0,0
55,1,"white",40,10,0,0,1,0,0,0,0
53,0,"white",40,52,27500,0,0,1,0,0,0
57,1,"white",35,52,80000,0,0,1,0,0,0
28,1,"white",20,51,5359,0,0,0,1,0,0
51,0,"white",0,0,0,0,0,1,0,0,0
36,0,"white",0,0,0,0,0,1,0,0,0
44,1,"white",NA,50,0,0,0,0,0,0,1
44,0,"asian/pacific",0,0,0,0,0,0,0,1,0
34,1,"white",40,44,18720,0,0,1,0,0,0
33,0,"white",24,52,0,0,0,1,0,0,0
42,1,"white",NA,52,44000,0,0,1,0,0,0
38,1,"white",60,52,45002,0,0,1,0,0,0
33,0,"white",0,0,0,0,0,1,0,0,0
39,1,"white",52,52,32000,0,0,0,1,0,0
63,1,"white",NA,52,60000,0,0,0,0,1,0
63,0,"white",50,52,80000,0,0,0,0,0,1
34,1,"white",0,0,0,0,0,1,0,0,0
48,1,"white",45,52,0,0,0,0,1,0,0
46,0,"white",40,52,60000,0,0,0,1,0,0
46,1,"white",44,52,62000,0,0,0,1,0,0
47,0,"white",37,52,28000,0,0,0,1,0,0
25,1,"white",40,40,21000,0,0,0,1,0,0
40,1,"white",0,0,0,0,0,1,0,0,0
38,0,"white",45,52,10900,0,0,1,0,0,0
46,0,"white",36,52,110000,0,0,0,0,1,0
45,1,"white",40,52,25000,0,0,0,1,0,0
52,0,"white",0,0,0,0,0,0,1,0,0
37,1,"white",40,52,40000,0,0,1,0,0,0
36,1,"white",40,52,75000,0,0,0,0,1,0
33,0,"white",0,0,0,0,0,0,1,0,0
60,0,"white",40,8,600,0,0,0,1,0,0
40,1,"white",0,0,0,0,0,1,0,0,0
63,0,"white",40,52,60000,0,0,0,1,0,0
46,1,"white",0,0,0,0,0,1,0,0,0
42,0,"white",0,0,0,0,0,1,0,0,0
37,0,"white",NA,8,0,0,0,1,0,0,0
38,1,"white",40,52,33000,0,0,1,0,0,0
59,0,"white",56,52,30000,0,0,1,0,0,0
52,1,"white",42,52,56000,0,0,1,0,0,0
36,0,"white",36,52,90000,0,0,1,0,0,0
39,1,"white",45,52,60000,0,0,1,0,0,0
37,0,"white",NA,52,16000,0,0,1,0,0,0
39,0,"white",25,29,6300,0,0,0,1,0,0
59,1,"white",NA,39,35000,0,0,1,0,0,0
62,0,"white",24,52,28000,0,0,0,1,0,0
28,1,"white",40,52,26000,0,0,1,0,0,0
55,0,"white",0,0,0,0,0,1,0,0,0
54,0,"white",40,52,42000,0,0,0,0,1,0
27,0,"white",40,52,20000,0,0,0,0,1,0
44,1,"white",40,52,60000,0,0,0,1,0,0
44,0,"white",40,52,60000,0,0,1,0,0,0
56,1,"white",55,52,54000,0,0,0,1,0,0
32,0,"multiple/other",0,0,0,0,0,1,0,0,0
61,1,"white",0,0,0,0,0,0,1,0,0
61,0,"white",0,0,0,0,0,0,1,0,0
58,0,"white",40,52,55000,0,0,0,1,0,0
60,1,"white",0,0,0,0,0,0,1,0,0
26,0,"white",0,0,0,0,1,0,0,0,0
